EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Distance Group,Salary_hike_Group
37,50,1,rare,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,1,14,3,3,0,3,2,3,3,2,0,2,Senior,Near,low
38,35,0,rare,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,0,13,3,1,0,2,3,3,2,2,2,2,Early Career,Near,low
39,36,0,rare,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,1,14,3,4,1,6,3,4,1,1,0,0,Mid Career,Near,low
40,33,0,Frequent,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,0,19,3,1,2,10,3,3,5,3,1,3,Early Career,Near,medium
41,35,0,rare,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,0,12,3,3,1,1,3,3,1,0,0,0,Early Career,Near,low
42,27,0,rare,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,0,13,3,4,1,1,6,3,1,0,0,0,Early Career,Near,low
43,26,1,rare,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,0,12,3,3,0,1,2,2,1,0,0,1,Early Career,Far,low
44,27,0,Frequent,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,0,15,3,4,0,9,0,3,9,8,1,7,Early Career,Medium,low
45,30,0,Frequent,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,0,23,4,4,0,12,2,3,12,8,3,7,Early Career,Near,high
46,41,1,rare,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,0,12,3,4,0,23,0,3,22,15,15,8,Mid Career,Medium,low
47,34,0,Non,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,0,20,4,3,0,10,2,3,9,5,8,7,Early Career,Far,medium
48,37,0,rare,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,0,21,4,1,0,8,1,3,1,0,0,0,Mid Career,Far,medium
49,46,0,Frequent,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,1,21,4,3,0,14,4,3,9,6,0,8,Senior,Near,medium
50,35,0,rare,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,0,19,3,4,0,1,2,3,1,0,0,1,Early Career,Medium,medium
51,48,1,rare,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,1,13,3,4,0,23,2,3,1,0,0,0,Senior,Near,low
52,28,1,rare,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,1,13,3,3,0,2,3,2,2,2,2,2,Early Career,Near,low
53,44,0,rare,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,1,21,4,3,1,9,2,2,4,3,1,3,Mid Career,Near,medium
54,35,0,Non,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,1,13,3,3,1,10,3,3,4,0,2,3,Early Career,Medium,low
55,26,0,rare,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,1,19,3,3,1,5,2,2,2,2,0,0,Early Career,Far,medium
56,33,0,Frequent,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,1,12,3,3,0,15,1,3,15,14,8,12,Early Career,Near,low
57,35,0,Frequent,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,0,22,4,4,1,9,3,2,9,8,1,8,Early Career,Far,high
58,35,0,rare,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,1,15,3,3,1,4,3,3,2,2,2,2,Early Career,Far,low
59,31,0,rare,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,0,22,4,4,1,10,3,2,7,7,1,7,Early Career,Medium,high
60,37,0,rare,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,0,18,3,3,1,7,2,4,7,5,0,7,Mid Career,Near,medium
61,32,0,rare,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,1,22,4,2,1,9,3,3,9,8,7,8,Early Career,Near,high
62,38,0,Frequent,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,0,11,3,4,0,10,2,3,10,3,9,9,Mid Career,Far,low
63,50,0,rare,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,1,12,3,4,1,29,2,2,27,3,13,8,Senior,Medium,low
64,59,0,rare,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,0,11,3,4,0,28,3,2,21,16,7,9,Late Career,Far,low
65,36,0,rare,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,0,13,3,2,3,17,2,3,17,14,12,8,Mid Career,Medium,low
66,55,0,rare,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,1,14,3,3,3,21,2,3,5,0,0,2,Senior,Medium,low
67,36,0,Frequent,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,0,13,3,3,0,6,3,3,6,5,0,3,Mid Career,Medium,low
68,45,0,rare,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,0,17,3,3,1,25,2,3,1,0,0,0,Mid Career,Medium,medium
69,35,0,Frequent,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,0,13,3,4,1,5,2,2,3,2,1,2,Early Career,Near,low
70,36,1,rare,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,1,17,3,1,1,2,0,2,1,0,0,0,Mid Career,Medium,medium
71,59,0,Frequent,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,0,11,3,4,0,20,2,2,4,3,1,3,Late Career,Near,low
72,29,0,rare,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,0,23,4,4,1,6,3,3,5,4,0,4,Early Career,Near,high
73,31,0,rare,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,0,17,3,2,0,1,4,3,1,1,1,0,Early Career,Near,medium
74,32,0,rare,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,0,17,3,2,2,10,3,3,10,4,0,9,Early Career,Near,medium
75,36,0,rare,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,0,12,3,2,0,5,3,3,1,0,0,0,Mid Career,Medium,low
76,31,0,rare,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,0,23,4,4,0,11,2,3,11,7,1,8,Early Career,Medium,high
77,35,0,rare,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,0,14,3,2,0,16,2,3,15,13,2,8,Early Career,Near,low
78,45,0,rare,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,1,14,3,2,0,17,3,4,0,0,0,0,Mid Career,Medium,low
79,37,0,rare,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,0,13,3,1,0,16,3,4,5,2,0,2,Mid Career,Medium,low
80,46,0,rare,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,1,22,4,4,1,16,2,3,4,2,0,2,Senior,Near,high
81,30,0,rare,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,1,12,3,3,2,10,1,2,10,8,3,0,Early Career,Near,low
82,35,0,rare,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,0,18,3,1,0,6,3,3,6,4,0,4,Early Career,Near,medium
83,55,0,rare,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,0,14,3,4,1,24,4,3,1,0,1,0,Senior,Near,low
84,38,0,Non,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,1,12,3,4,3,17,3,3,13,11,1,9,Mid Career,Medium,low
85,34,0,rare,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,0,15,3,3,0,5,2,3,5,2,1,3,Early Career,Near,low
86,56,0,rare,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,0,11,3,1,0,37,3,2,6,4,0,2,Late Career,Medium,low
87,23,0,rare,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,0,13,3,3,1,3,3,3,0,0,0,0,Young,Near,low
88,51,0,rare,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,0,23,4,2,2,10,4,3,4,2,0,3,Senior,Medium,high
89,30,0,rare,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,0,19,3,1,3,11,3,3,11,10,10,8,Early Career,Near,medium
90,46,1,rare,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,1,0,16,3,4,0,9,3,3,9,8,4,7,Senior,Medium,medium
91,40,0,Frequent,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,0,22,4,4,1,22,3,2,22,3,11,11,Mid Career,Near,high
92,51,0,rare,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,0,1,22,4,4,0,11,2,1,10,7,1,0,Senior,Far,high
93,30,0,rare,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,1,12,3,2,3,11,4,2,11,8,2,7,Early Career,Near,low
94,46,0,Frequent,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,1,13,3,3,1,21,5,2,10,9,9,5,Senior,Near,low
95,32,0,rare,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,0,16,3,1,0,12,0,3,11,8,5,7,Early Career,Medium,medium
96,54,0,rare,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,9,0,12,3,1,1,16,5,1,4,3,0,3,Senior,Near,low
97,24,0,rare,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,0,0,21,4,1,1,4,2,2,3,2,0,2,Young,Near,medium
98,28,0,Non,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,0,15,3,2,0,5,3,4,5,4,0,4,Early Career,Near,low
99,58,0,rare,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,0,0,13,3,3,0,38,1,2,37,10,1,8,Late Career,Medium,low
100,44,0,Non,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,4,0,12,3,3,1,17,3,4,3,2,1,2,Mid Career,Far,low
101,37,1,rare,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,4,1,22,4,4,0,7,3,3,3,2,0,2,Mid Career,Medium,high
102,32,0,rare,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,1,0,13,3,4,0,1,2,3,1,0,0,0,Early Career,Near,low
103,20,1,Frequent,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,1,1,18,3,2,0,1,5,3,1,0,1,0,Young,Medium,medium
104,34,0,rare,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,1,0,14,3,3,0,16,3,3,16,13,2,10,Early Career,Medium,low
105,37,0,Non,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,0,14,3,4,1,17,2,4,1,0,0,0,Mid Career,Near,low
106,59,0,Non,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,9,0,21,4,4,1,30,3,3,3,2,2,2,Late Career,Near,medium
107,50,0,Frequent,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,3,1,19,3,1,0,28,1,2,8,3,0,7,Senior,Near,medium
108,25,1,rare,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,1,1,11,3,4,0,6,1,3,6,4,0,3,Young,Near,low
109,25,0,rare,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,1,0,11,3,3,2,2,2,3,2,2,2,1,Young,Medium,low
110,22,0,rare,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,1,0,15,3,3,0,1,5,3,0,0,0,0,Young,Medium,low
111,51,0,Frequent,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,3,0,20,4,3,0,23,1,2,13,12,12,8,Senior,Near,medium
112,34,1,Frequent,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,1,1,24,4,4,0,9,3,3,9,7,0,6,Early Career,Medium,high
113,54,0,Non,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,2,1,12,3,3,0,23,3,3,5,3,4,4,Senior,Far,low
114,24,0,rare,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,0,0,12,3,3,1,6,2,3,5,3,1,2,Young,Far,low
115,34,0,rare,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,6,0,15,3,3,1,12,3,3,1,0,0,0,Early Career,Medium,low
116,37,0,rare,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,2,0,12,3,1,0,12,3,3,5,3,1,3,Mid Career,Near,low
117,34,0,rare,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,2,0,12,3,4,0,14,6,3,11,10,5,8,Early Career,Near,low
118,36,0,Frequent,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,0,0,14,3,3,1,10,6,3,9,7,2,8,Mid Career,Medium,low
119,36,0,rare,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,5,0,22,4,1,1,7,2,3,1,0,0,0,Mid Career,Near,high
120,43,0,Frequent,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,1,1,12,3,4,2,25,3,4,25,12,4,12,Mid Career,Far,low
121,30,0,Frequent,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,1,0,25,4,3,3,10,2,2,10,7,0,9,Early Career,Far,high
122,33,0,Non,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,0,0,13,3,1,1,8,2,4,7,7,0,7,Early Career,Far,low
123,56,1,rare,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,9,1,18,3,1,3,7,2,3,5,4,4,3,Late Career,Medium,medium
124,51,0,rare,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,7,0,13,3,3,0,23,5,3,20,18,15,15,Senior,Medium,low
125,31,1,rare,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,4,1,18,3,2,0,12,3,2,7,7,7,7,Early Career,Medium,medium
126,26,0,rare,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,1,0,19,3,3,0,5,3,2,5,4,4,3,Early Career,Medium,medium
127,58,1,rare,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,1,0,12,3,4,1,40,3,2,40,10,15,6,Late Career,Far,low
128,19,1,rare,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,1,1,19,3,4,0,0,2,2,0,0,0,0,Young,Far,medium
129,22,0,rare,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,0,0,14,3,3,1,3,2,3,2,1,2,1,Young,Near,low
130,49,0,rare,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,1,0,14,3,3,0,16,2,2,15,11,5,11,Senior,Far,low
131,43,0,Frequent,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,4,0,12,3,4,0,18,2,3,3,2,1,2,Mid Career,Far,low
132,50,0,Frequent,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,4,0,11,3,4,0,16,3,3,2,2,2,1,Senior,Medium,low
133,31,1,rare,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,3,1,11,3,3,1,4,2,3,2,2,2,2,Early Career,Far,low
134,41,0,rare,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,3,1,13,3,3,1,12,2,3,9,7,0,7,Mid Career,Medium,low
135,26,0,rare,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,1,0,23,4,4,1,8,3,3,8,7,5,7,Early Career,Far,high
136,36,0,rare,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,0,20,4,4,2,7,0,3,3,2,0,1,Mid Career,Medium,medium
137,51,1,Frequent,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,2,0,15,3,4,0,18,2,3,4,2,0,3,Senior,Medium,low
138,39,0,rare,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,4,0,14,3,3,1,17,1,4,15,11,5,9,Mid Career,Near,low
139,25,0,rare,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,2,0,18,3,4,0,6,3,3,2,2,2,2,Young,Far,medium
140,30,0,rare,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,0,1,19,3,4,0,12,2,1,11,9,4,7,Early Career,Medium,medium
141,32,1,rare,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,7,0,22,4,1,0,10,2,4,5,4,0,4,Early Career,Medium,high
142,45,0,rare,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,5,0,13,3,2,0,9,2,2,6,5,0,3,Mid Career,Far,low
143,38,0,rare,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,3,1,20,4,2,0,19,2,3,3,2,2,2,Mid Career,Near,medium
144,30,0,rare,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,1,0,14,3,3,0,5,4,2,5,4,0,4,Early Career,Far,low
145,32,0,Frequent,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,0,0,17,3,4,3,9,2,4,8,7,0,7,Early Career,Medium,medium
146,30,0,rare,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,5,0,14,3,4,1,8,3,3,3,2,2,2,Early Career,Near,low
147,30,0,rare,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,0,0,13,3,4,0,6,3,3,5,3,1,2,Early Career,Near,low
148,41,0,Frequent,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,4,0,13,3,2,1,21,2,2,7,6,7,7,Mid Career,Medium,low
149,41,0,rare,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,2,0,21,4,4,1,7,2,3,5,0,1,4,Mid Career,Medium,medium
150,19,0,rare,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,1,0,14,3,4,0,1,3,3,1,0,0,0,Young,Near,low
151,40,0,Frequent,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,1,0,11,3,1,1,20,2,3,20,7,2,13,Mid Career,Far,low
152,35,0,rare,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,1,0,13,3,1,2,10,3,3,10,8,0,6,Early Career,Near,low
153,53,0,rare,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,2,1,20,4,4,1,13,3,1,7,7,4,5,Senior,Medium,medium
154,45,0,rare,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,8,0,18,3,3,1,20,2,1,17,9,0,15,Mid Career,Medium,medium
155,32,0,Frequent,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,1,0,14,3,4,0,9,2,3,9,8,3,7,Early Career,Medium,low
156,29,0,Non,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,1,0,13,3,1,1,10,1,3,10,7,0,9,Early Career,Near,low
